wick_threshold,direction,exit_type,risk_profile,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,expectancy,avg_win,avg_loss,final_balance
1.5,long,fixed_10,conservative,98,20,78,20.41,-3516.74,-35.17,58.15,-1.008,-5.347,0.81,-35.89,765.58,241.39,6008.14
1.5,long,fixed_10,moderate,98,20,78,20.41,-5601.79,-56.02,78.81,-1.008,-5.347,0.79,-57.16,1049.83,341.01,3739.15
1.5,long,fixed_10,aggressive,98,20,78,20.41,-8452.75,-84.53,97.21,-1.008,-5.347,0.75,-86.25,1295.23,440.48,741.02
1.5,long,fixed_10,degen,98,20,78,20.41,-9096.49,-90.96,99.77,-1.008,-5.347,0.75,-92.82,1399.22,475.39,82.06
1.5,long,fixed_12,conservative,96,19,77,19.79,-1909.63,-19.1,52.89,-0.176,-1.023,0.92,-19.89,1084.0,292.28,7536.92
1.5,long,fixed_12,moderate,96,19,77,19.79,-3880.21,-38.8,74.73,-0.176,-1.023,0.89,-40.42,1608.23,447.23,5284.28
1.5,long,fixed_12,aggressive,96,19,77,19.79,-7574.95,-75.75,96.36,-0.176,-1.023,0.84,-78.91,2150.2,628.95,1297.39
1.5,long,fixed_12,degen,96,19,77,19.79,-8714.01,-87.14,99.68,-0.176,-1.023,0.83,-90.77,2222.96,661.69,162.69
1.5,long,fixed_15,conservative,78,13,65,16.67,-3882.53,-38.83,58.19,-0.856,-2.06,0.8,-49.78,1218.82,303.5,5708.62
1.5,long,fixed_15,moderate,78,13,65,16.67,-6295.94,-62.96,80.67,-0.856,-2.06,0.78,-80.72,1676.5,432.16,3122.84
1.5,long,fixed_15,aggressive,78,13,65,16.67,-9100.26,-91.0,99.07,-0.856,-2.06,0.72,-116.67,1799.89,499.98,219.42
1.5,long,fixed_15,degen,71,13,58,18.31,-9522.86,-95.23,100.44,-0.262,-0.624,0.68,-134.12,1528.76,506.84,-141.31
1.5,long,fixed_20,conservative,71,9,62,12.68,-3695.66,-36.96,53.76,-0.699,-1.932,0.79,-52.05,1560.2,286.09,5941.99
1.5,long,fixed_20,moderate,71,9,62,12.68,-6184.19,-61.84,77.02,-0.699,-1.932,0.75,-87.1,2071.84,400.5,3311.76
